<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,Close,<VOL>
25/05/15,00:00:00,7.476.0000000,7.587.0000000,7.302.0000000,7.498.0000000,786.783
26/05/15,00:00:00,7.496.0000000,7.530.0000000,7.403.0000000,7.465.0000000,839.516
27/05/15,00:00:00,7.465.0000000,7.470.0000000,7.262.0000000,7.395.0000000,882.386
28/05/15,00:00:00,7.395.0000000,7.507.0000000,7.330.0000000,7.393.0000000,832.566
29/05/15,00:00:00,7.397.0000000,7.626.0000000,7.295.0000000,7.357.0000000,1.036.795
01/06/15,00:00:00,7.360.0000000,7.449.0000000,7.249.0000000,7.290.0000000,922.211
02/06/15,00:00:00,7.288.0000000,7.470.0000000,7.225.0000000,7.438.0000000,851.979
03/06/15,00:00:00,7.431.0000000,7.439.0000000,7.154.0000000,7.192.0000000,970.124
04/06/15,00:00:00,7.187.0000000,7.232.0000000,7.051.0000000,7.112.0000000,945.860
05/06/15,00:00:00,7.108.0000000,7.164.0000000,7.003.0000000,7.090.0000000,764.530
08/06/15,00:00:00,7.090.0000000,7.104.0000000,6.801.0000000,6.848.0000000,1.046.739
09/06/15,00:00:00,6.858.0000000,7.018.0000000,6.817.0000000,6.997.0000000,711.226
10/06/15,00:00:00,7.180.0000000,7.388.0000000,7.170.0000000,7.312.0000000,95.714
11/06/15,00:00:00,7.311.0000000,7.501.0000000,7.231.0000000,7.470.0000000,233.834
15/06/15,00:00:00,7.470.0000000,7.490.0000000,7.272.0000000,7.377.0000000,497.748
16/06/15,00:00:00,7.377.0000000,7.610.0000000,7.316.0000000,7.579.0000000,772.514
17/06/15,00:00:00,7.577.0000000,7.664.0000000,7.470.0000000,7.557.0000000,794.254
18/06/15,00:00:00,7.543.0000000,7.649.0000000,7.466.0000000,7.515.0000000,724.794
19/06/15,00:00:00,7.515.0000000,7.546.0000000,7.361.0000000,7.399.0000000,589.133
22/06/15,00:00:00,7.389.0000000,7.457.0000000,7.349.0000000,7.384.0000000,533.321
23/06/15,00:00:00,7.387.0000000,7.447.0000000,7.350.0000000,7.419.0000000,495.129
24/06/15,00:00:00,7.418.0000000,7.468.0000000,7.336.0000000,7.384.0000000,537.691
25/06/15,00:00:00,7.384.0000000,7.422.0000000,7.333.0000000,7.342.0000000,373.546
26/06/15,00:00:00,7.342.0000000,7.344.0000000,7.227.0000000,7.264.0000000,480.708
29/06/15,00:00:00,7.263.0000000,7.282.0000000,7.050.0000000,7.181.0000000,599.522
30/06/15,00:00:00,7.184.0000000,7.455.0000000,7.184.0000000,7.411.0000000,743.575
01/07/15,00:00:00,7.412.0000000,7.481.0000000,7.251.0000000,7.270.0000000,699.542
02/07/15,00:00:00,7.269.0000000,7.305.0000000,7.190.0000000,7.214.0000000,547.074
